"GC" "CUB" "rna_bLength" "gSize" "IGRlength" "IGRpercentage" "pseudoFrac" "cDensity" "directionGC" "endoSymb_status" "CUB_log2" "rna_bLength_log2" "gSize_log2" "pseudoFrac_log2"
"Betaproteo_jump11" -9.03 NA NA 0.85 NA NA NA -1 -1 0 NA NA -0.234465253637023 NA
"Betaproteo_jump12" -16.03 NA NA 0.48 NA NA NA 0 -1 0 NA NA -1.05889368905357 NA
"Betaproteo_jump13" -11.61 NA NA 1.3 26 26 NA -3 -1 0 NA NA 0.37851162325373 NA
"Betaproteo_jump14" -7.03 0.919642857142857 NA 1.07 23 27 0.875 -2 -1 0 -0.120854394874386 NA 0.0976107966264223 -0.192645077942396
"Betaproteo_jump15" -25.77 NA NA 0.58 NA NA NA 2.2 -1 0 NA NA -0.785875194647153 NA
"Betaproteo_jump16" -13.52 1.3298969072165 NA 0.74 -24 -27 2.05555555555556 3 -1 0 0.411314413236127 NA -0.434402824145775 1.03952836418664
"Betaproteo_jump17" -12.54 0.653333333333333 2.14285714285714 0.53 22 24 2.28571428571429 -4.28 -1 0 -0.614108846380673 1.09953567355091 -0.915935735211525 1.1926450779424
"Betaproteo_jump18" -9.81 0.782608695652174 1 0.47 -49 -65 0.533333333333333 0.120000000000005 -1 0 -0.3536369546147 0 -1.08926733809709 -0.906890595608518
"Betaproteo_jump19" 6.64 0.6375 0.0294117647058824 0.95 -4 -5 1 0 1 0 -0.649502752915867 -5.08746284125034 -0.0740005814437769 0
"Betaproteo_jump20" -8.23 NA NA 0.79 NA NA NA 3 -1 0 NA NA -0.340075441597622 NA
"Betaproteo_jump21" -15.27 NA NA 0.65 NA NA NA -1 -1 0 NA NA -0.62148837674627 NA
"Betaproteo_jump22" -16.89 NA NA 0.47 NA NA NA 1 -1 0 NA NA -1.08926733809709 NA
"Betaproteo_jump23" 10.04 0.666666666666667 NA 0.88 -34 -28 1.1875 2 1 0 -0.584962500721156 NA -0.184424571137427 0.247927513443585
"Betaproteo_jump24" NA NA NA NA NA NA NA NA NA 0 NA NA NA NA
